0 = [0.49, 'random', 'SGD', 'relu', 6, 0.9829]
1 = [0.31, 'xavier', 'Adam', 'relu', 6, 0.9828]
2 = [-0.19000000000000003, 'random', 'SGD', 'relu', 5, 0.9826]
3 = [0.16999999999999998, 'zeros', 'Adam', 'tanh', 4, 0.9823]
4 = [0.36, 'xavier', 'Adam', 'tanh', 4, 0.9823]
5 = [0.6, 'random', 'SGD', 'sigmoid', 6, 0.9821]
6 = [-0.19000000000000003, 'random', 'SGD', 'relu', 6, 0.9821]
7 = [0.36, 'xavier', 'Adam', 'sigmoid', 6, 0.9819]
8 = [0.31, 'zeros', 'Adam', 'relu', 5, 0.9816]
9 = [0.6699999999999999, 'he', 'SGD', 'tanh', 6, 0.9829]
10 = [0.2, 'xavier', 'SGD', 'relu', 6, 0.9828]
11 = [-0.19000000000000003, 'random', 'SGD', 'relu', 4, 0.9826]
12 = [0.16999999999999998, 'zeros', 'Adam', 'tanh', 5, 0.9823]
13 = [0.48, 'xavier', 'SGD', 'tanh', 4, 0.9823]
14 = [0.75, 'he', 'SGD', 'sigmoid', 7, 0.9821]
15 = [-0.13000000000000003, 'random', 'SGD', 'relu', 6, 0.9821]
16 = [0.39, 'xavier', 'Adam', 'sigmoid', 7, 0.9819]
17 = [0.31, 'zeros', 'Adam', 'relu', 6, 0.9816]
18 = [-0.13000000000000003, 'random', 'SGD', 'relu', 6, 0.9823]
19 = [0.2, 'xavier', 'SGD', 'relu', 6, 0.9829]
20 = [-0.19000000000000003, 'random', 'SGD', 'relu', 7, 0.9821]
21 = [0.6699999999999999, 'he', 'SGD', 'tanh', 6, 0.9829]
22 = [-0.19000000000000003, 'random', 'SGD', 'relu', 6, 0.9821]
23 = [0.2, 'xavier', 'SGD', 'relu', 5, 0.9826]
24 = [0.16999999999999998, 'zeros', 'Adam', 'tanh', 5, 0.9823]
25 = [0.31, 'xavier', 'Adam', 'relu', 6, 0.9829]
26 = [0.16999999999999998, 'zeros', 'Adam', 'tanh', 4, 0.9823]
27 = [-0.19000000000000003, 'random', 'Adam', 'sigmoid', 7, 0.9819]
28 = [-0.13000000000000003, 'random', 'SGD', 'relu', 7, 0.9819]
29 = [0.2, 'xavier', 'SGD', 'relu', 6, 0.9819]
